,Arabic,Bulgarian,English (US),Spanish (Mexico),French (France),Porguguese,Russian,Serbian,Chinese,Creole,Swahili,Italian,Hindi,Turkish,Hebrew,Filipino
key,ar,bg,en-US,es-MX,fr-FR,pt-PT,ru-RU,sr,zh,ht,sw,it,hi,tr,he,fil
alcohol,كحول,алкохол,alcohol,alcohol,de l'alcool,álcool,алкоголь,алкохол,酒精中毒,alkòl,pombe,alcool,शराब,alkol,אלכוהול,alkohol
appetite_loss,فقدان للشهية,Загуба на апетит,Loss of appetite,Pérdida de apetito,Perte d'appétit,Perda de apetite,Потеря аппетита,Губитак апетита,食欲不振,Pèt apeti,Kupoteza hamu ya kula,Perdita di appetito,भूख न लगना,İştah kaybı,אובדן תיאבון,Kawalan ng Gana
blood_in,الدم في كل من :,Кръв в:,Blood in:,Sangre en:,Sang dans:,Sangue nas:,Кровь в:,Крв у:,血：,San nan:,Damu juu ya,Sangue in:,रक्त:,Kan gelmesi/ görülmesi,דם ב,Dugo sa:
brown,بني,кафяв,brown,marrón,brune,marrom,коричневые,браон,棕色,mawon,kahawia,marrone,ब्राउन,kahverengi,חום,kayumanggi
burn,حرق,Едно изгаряне,A burn,Una quemadura,Brûlure,Uma queimadura,Жжение,Гори,烧伤,Yon boule,kuchoma,Una bruciatura,एक जला,Yanık,לשרוף,sunog
burning_sensation,الاحساس بحرقان,Усещане за парене,Burning Sensation,Sensación de quemazón,Sensation de brûlement,Sensação ardente ,Ощущение жжения,Пецкање,烧灼感,Senti lap boule,hisia ya moto,Sensazione di bruciore,जलन,Yanma hissi,תחושת צריבה,Pakiramdam ng pagkasunog
choking,الغصة بسبب كائن عالقا في الحلق,"Задавяне, тъй като на обект, заседнало в гърлото",Choking because of an object stuck in throat,Asfixia a causa de un objeto/alimentos atorado en la garganta,Etouffement du a une obstruction des voies respiratoire par un objet/de la nourriture,Asfixia por causa de um objeto preso na garganta,Задыхаясь из-за объект застрял в горле,Гушење због објекта заглављен у грлу,窒息，因有物体鲠在喉咙,Wap toufe paske yo te yon objè kole nan gòj,choking kwa sababu kitu ni kukwama katika koo yako/Kukwamwa na kitu kwenye koo.,Soffocamento a causa di un oggetto bloccato in gola,एक गले में अटक गई वस्तु के कारण घुटन,Boğulma/ tıkanma,מחנק,Nabubulunan dahil may naipit sa lalamunan
constipation,إمساك,Запек,Constipation,Estreñimiento,Constipation,Constipation,Запор,Затвор,便秘,Konstipasyon,kuvimbiwa,Costipazione,कब्ज,kabızlık,עצירות,di-pagdumi
cough,سعال,Кашлица,Cough,Tos,Toux,Tosse,Кашель,Кашаљ,咳嗽,Tous,kikohozi,Tosse,खांसी,öksürük,שיעול,Ubo
